benchmark,m200_msun,sigma_over_m_cm2_g,window,window_r_min_kpc,window_r_max_kpc,n_bins,target_sigma,required_uniform_fraction,required_uniform_percent,max_abs_ratio_shift_percent
cluster,100000000000000.0,0.2,inner,30.0,300.0,20,5.0,0.07355804756790975,7.355804756790975,23.04367792193952
cluster,100000000000000.0,0.2,outer,300.0,3000.0,20,2.0,0.08469750050980908,8.469750050980908,4.656937329589561
cluster,100000000000000.0,0.2,outer,300.0,3000.0,20,3.0,0.056465000339872715,5.646500033987271,4.656937329589561
cluster,100000000000000.0,0.2,outer,300.0,3000.0,20,5.0,0.033879000203923634,3.3879000203923635,4.656937329589561
cluster,100000000000000.0,0.5,full,30.0,3000.0,40,2.0,0.41675246605556726,41.67524660555672,46.67396055699938
cluster,100000000000000.0,0.5,full,30.0,3000.0,40,3.0,0.27783497737037816,27.783497737037816,46.67396055699938
cluster,100000000000000.0,0.5,full,30.0,3000.0,40,5.0,0.1667009864222269,16.67009864222269,46.67396055699938
cluster,100000000000000.0,0.5,inner,30.0,300.0,20,2.0,0.3961630281971307,39.61630281971307,46.67396055699938
cluster,100000000000000.0,0.5,inner,30.0,300.0,20,3.0,0.2641086854647538,26.41086854647538,46.67396055699938
cluster,100000000000000.0,0.5,inner,30.0,300.0,20,5.0,0.15846521127885227,15.846521127885227,46.67396055699938
cluster,100000000000000.0,0.5,outer,300.0,3000.0,20,2.0,0.12937338618539826,12.937338618539826,7.148945762586512
cluster,100000000000000.0,0.5,outer,300.0,3000.0,20,3.0,0.08624892412359883,8.624892412359882,7.148945762586512
cluster,100000000000000.0,0.5,outer,300.0,3000.0,20,5.0,0.0517493544741593,5.17493544741593,7.148945762586512
cluster,100000000000000.0,1.0,full,30.0,3000.0,40,2.0,0.6227967423932428,62.27967423932428,64.08951254359539
cluster,100000000000000.0,1.0,full,30.0,3000.0,40,3.0,0.41519782826216184,41.519782826216186,64.08951254359539
cluster,100000000000000.0,1.0,full,30.0,3000.0,40,5.0,0.24911869695729713,24.911869695729713,64.08951254359539
cluster,100000000000000.0,1.0,inner,30.0,300.0,20,2.0,0.6034715675267044,60.347156752670436,64.08951254359539
cluster,100000000000000.0,1.0,inner,30.0,300.0,20,3.0,0.40231437835113626,40.231437835113624,64.08951254359539
cluster,100000000000000.0,1.0,inner,30.0,300.0,20,5.0,0.24138862701068176,24.138862701068177,64.08951254359539
cluster,100000000000000.0,1.0,outer,300.0,3000.0,20,2.0,0.15394105859872975,15.394105859872976,8.484972154121495
cluster,100000000000000.0,1.0,outer,300.0,3000.0,20,3.0,0.10262737239915318,10.262737239915317,8.484972154121495
cluster,100000000000000.0,1.0,outer,300.0,3000.0,20,5.0,0.061576423439491906,6.157642343949191,8.484972154121495
cluster,100000000000000.0,2.0,full,30.0,3000.0,40,2.0,0.8249848629174982,82.49848629174981,75.92992521517183
cluster,100000000000000.0,2.0,full,30.0,3000.0,40,3.0,0.5499899086116654,54.99899086116654,75.92992521517183
cluster,100000000000000.0,2.0,full,30.0,3000.0,40,5.0,0.32999394516699926,32.99939451669992,75.92992521517183
cluster,100000000000000.0,2.0,inner,30.0,300.0,20,2.0,0.8092322104815873,80.92322104815874,75.92992521517183
cluster,100000000000000.0,2.0,inner,30.0,300.0,20,3.0,0.5394881403210582,53.948814032105815,75.92992521517183
cluster,100000000000000.0,2.0,inner,30.0,300.0,20,5.0,0.3236928841926349,32.36928841926349,75.92992521517183
cluster,100000000000000.0,2.0,outer,300.0,3000.0,20,2.0,0.16044704285865533,16.04470428586553,8.797432551650797
cluster,100000000000000.0,2.0,outer,300.0,3000.0,20,3.0,0.10696469523910355,10.696469523910356,8.797432551650797
cluster,100000000000000.0,2.0,outer,300.0,3000.0,20,5.0,0.06417881714346213,6.417881714346213,8.797432551650797
