r_kpc,rho_cdm_msun_kpc3,rho_sidm_sigma_0p200,rho_sidm_sigma_0p500,rho_sidm_sigma_1p000,rho_sidm_sigma_2p000
76.47596590957379,2218283.320728953,2363796.511540962,2362263.942524376,2236675.1221189615,1984873.0695922226
79.17650944605587,2116408.323360611,2257571.9105638335,2266036.2161208163,2160649.4864440495,1932788.7257338234
81.97241543145503,2018517.288317212,2154984.961012729,2171639.7201870233,2084449.783738334,1879575.2897120926
84.86705133477912,1924467.5871185912,2055983.0336354526,2079221.8065492236,2008283.4192958914,1825319.2828255002
87.86390353816842,1834140.4935523348,1960539.1120171347,1988972.9587975603,1932431.1530201423,1770184.571948121
90.96658153599391,1747417.80233172,1868606.0245070967,1901035.8251777175,1857146.4438534807,1714344.439665524
94.17882228223529,1664178.4639071925,1780119.833017266,1815512.7974866116,1782640.7653468864,1657947.9000534962
97.50449469137504,1584293.9193452096,1694995.7680347778,1732462.6880362725,1709080.732890712,1601114.3878364288
100.94760429822968,1507654.5224710146,1613162.546902232,1651952.0311413195,1636666.910479221,1544033.4422623254
104.51229808233013,1434157.8321802611,1534553.5903920443,1574046.8860592868,1565603.2713096484,1486910.5657849573
108.20286946266222,1363699.5785919458,1459088.1528254298,1498769.7878823925,1496039.9557789261,1429928.402503635
112.02376346878327,1296171.4131363977,1386677.352474389,1426124.7696544852,1428099.6510041591,1373239.6379495668
115.97958209454252,1231466.2729688077,1317226.742392508,1356092.881106693,1361875.7694744917,1316992.3285248033
120.07508984085398,1169494.4629658032,1250660.2526862503,1288673.9857571502,1297488.9005722993,1261379.6138279776
124.31521945419738,1110166.3424736601,1186896.8146149276,1223847.5908768752,1235024.6715716966,1206570.8340617362
128.7050778677589,1053389.3467597554,1125849.2983190946,1161576.5931096263,1174539.210752148,1152702.4162854122
133.24995235236725,999065.6491303783,1067421.8086694316,1101805.379681866,1116057.892494754,1099878.5867098805
137.95531688463376,947112.0211990128,1011532.7969631947,1044488.224802736,1059613.2940280493,1048225.194418116
142.82683873996606,897450.4328980023,958105.5232359684,989581.3720590451,1005235.8777158489,997866.7557241642
147.8703853183964,850000.4140827259,907058.0802287511,937026.3124421573,952925.3905393382,948888.0784830218
153.09203121144563,804678.6742452824,858304.8141424691,886757.3637497054,902668.1670895498,901354.0241512223
158.49806551853538,761403.9187923225,811760.7300333987,838704.3854877024,854436.896969994,855311.1082470833
164.09499942175808,720107.0054027818,767353.94236592,792810.1248191682,808216.7027665839,810821.4905658372
169.88957402813105,680718.5788617029,725011.2629437874,749011.9003609217,763978.5150083259,767922.8200509124
175.8887684887783,643166.9217332802,684656.5366841545,707241.3771694888,721681.6692454853,726632.430873551
182.09980840481947,607377.2483809694,646209.6519879586,667423.8337168416,681273.7427120974,686948.1120187766
