r_kpc,rho_cdm_tier1_msun_kpc3,rho_sidm_tier1_sigma_0p050,rho_sidm_tier1_sigma_0p100,rho_sidm_tier1_sigma_0p200,rho_sidm_tier1_sigma_0p300,rho_cdm_tier2_msun_kpc3,rho_sidm_tier2_sigma_0p050,rho_sidm_tier2_sigma_0p100,rho_sidm_tier2_sigma_0p200,rho_sidm_tier2_sigma_0p300,rho_cdm_tier3_msun_kpc3,rho_sidm_tier3_sigma_0p050,rho_sidm_tier3_sigma_0p100,rho_sidm_tier3_sigma_0p200,rho_sidm_tier3_sigma_0p300
898.6550141104419,25905.059409110676,25728.64907572699,25569.901371666398,25295.754208596838,25067.355512007474,24780.75235697986,24676.63900885736,24582.731966460997,24420.069355387885,24284.070384759212,24780.75235697986,24663.799239132473,24558.232019753767,24375.198960355086,24222.005730180128
930.3886046708112,23891.582086605322,23734.273347797174,23592.66679630499,23348.014003165776,23144.08361149866,22680.110397904562,22589.29912291463,22507.364353911806,22365.381771255572,22246.616503427394,22680.110397904562,22576.411545594496,22482.78180531127,22320.388481634483,22184.41614811135
963.2427818345391,22024.529608011762,21884.320201495582,21758.06482544968,21539.84156349612,21357.85154372078,20726.12388877141,20647.0477114824,20575.679391175072,20451.958602631308,20348.42160207773,20726.12388877141,20634.19059090134,20551.164359742594,20407.11985338379,20286.47221539945
997.2571161107753,20294.237976696368,20169.328130277478,20056.81401611969,19862.26162959892,19699.934546453027,18910.022364001867,18841.286505377433,18779.23256110358,18671.618167737255,18581.520377150227,18910.022364001867,18828.54258944144,18754.943557407663,18627.226220708577,18520.228479315098
1032.4725753350253,18691.456200343386,18580.227918073564,18480.00694900295,18306.64224260042,18161.926349296547,17223.444295492896,17163.806966670316,17109.95205033362,17016.52265120199,16938.26791303203,17223.444295492896,17151.260135562672,17086.049568672577,16972.872817726377,16878.043535734563
1068.9315740119805,17207.589266917887,17108.589536547508,17019.360534794218,16864.95067436473,16735.999535810177,15658.564102554648,15606.921967670954,15560.274544939197,15479.320820223624,15411.48798203635,15658.564102554648,15594.65670672644,15536.920060573426,15436.709637452195,15352.74216527569
1106.6780244007584,15834.531172148896,15746.455657314316,15667.0499656191,15529.58814522591,15414.740908404194,14208.147642476499,14163.520882626526,14123.199960943055,14053.20212723005,13994.526620983639,14208.147642476499,14151.61928878822,14100.550165650848,14011.91663700912,13937.65639759903
1145.7573894040854,14564.688562242945,14486.36727117585,14415.736065466435,14293.42005967446,14191.184028263771,12865.615136387953,12827.134355371192,12792.357834438382,12731.965824507017,12681.323441321601,12865.615136387953,12815.674205629823,12770.56093166427,12692.276727931205,12626.702299684914
1186.2167373251093,13390.91012779933,13321.294089103738,13258.496571080595,13149.70874938292,13058.743122358908,11624.812412609777,11591.706819956109,11561.780970933432,11509.796517271296,11466.188724919273,11624.812412609777,11580.760121999205,11540.973910052573,11471.953110160051,11414.159606521833
1228.1047985578105,12306.442634783603,12244.591582424038,12188.784053972206,12092.072860254948,12011.17363611109,10479.75452075487,10451.341482069385,10425.651638076422,10381.012405955806,10343.553333367829,10479.75452075487,10440.972815113711,10405.956985282564,10345.236970250397,10294.421023946365
1271.4720242792805,11305.01389706583,11250.085747357158,11200.512259076475,11114.576324131243,11042.663316669597,9424.850539921172,9400.526533352182,9378.529019498666,9340.294822937316,9308.19992406819,9424.850539921172,9390.792058676976,9360.053096576466,9306.779306919247,9262.226569912278
1316.3706472145595,10380.732833457543,10331.973811566517,10287.957391114913,10211.630636544016,10147.735307562498,8454.905840898773,8434.137747201588,8415.352105356595,8382.691620180707,8355.26674081532,8454.905840898773,8425.082927036334,8398.180652696752,8351.58974994404,8312.661006828259
1362.8547445472223,9528.106008692137,9484.841949030022,9445.776861949145,9378.015334163583,9321.270016664714,7565.150675094562,7547.468101827355,7531.4702298912225,7503.649250126836,7480.2809456162195,7565.150675094562,7539.12686332132,7515.666824317179,7475.073672286092,7441.194108207665
1410.9803030514818,8741.92288141301,8703.550702910483,8668.894866772347,8608.763827236267,8558.391154408424,6750.6692712100285,6735.657846510524,6722.074008425954,6698.44520278591,6678.592302398873,6750.6692712100285,6728.053459005028,6707.681796900176,6672.470855107901,6643.1231458857865
1460.8052865242594,8017.371460821941,7983.352260391791,7952.621085010896,7899.284495949386,7854.588760701429,6006.941075229756,5994.236455100954,5982.737912302561,5962.731607369379,5945.917588547887,6006.941075229756,5987.381941482895,5969.780421996009,5939.397280910281,5914.114654822769
1512.3897055984369,7349.943492250827,7319.795897962325,7292.556360200239,7245.266777659436,7205.625633953205,5329.563964174067,5318.846332950743,5309.144420611403,5292.260154571587,5278.066161699579,5329.563964174067,5312.744084753692,5297.624881921545,5271.5674397523635,5249.926512432844
1565.7956900213758,6735.4384656278435,6708.7327926079615,6684.598222065544,6642.687891072323,6607.545032058489,4714.43681807306,4705.425847287448,4697.267455037301,4683.066211851526,4671.124624281765,4714.43681807306,4700.067006368497,4687.167644972126,4664.977453588749,4646.591097034199
1621.0875634857603,6169.923676157348,6146.276533110711,6124.901796662585,6087.774420417889,6056.632803990415,4157.50452255136,4149.955052428761,4143.118752412355,4131.216307356574,4121.20522704273,4157.50452255136,4145.32137258466,4134.402563182754,4115.661194701733,4100.175615270294
1678.3319211028888,5649.7195255473425,5628.788905688637,5609.8660206072855,5576.9892535084855,5549.404915133025,3654.7241514743323,3648.4223479143093,3642.7149464835234,3632.775933735009,3624.414265095409,3654.7241514743323,3644.4880800003075,3635.3320195897377,3619.658272328333,3606.750819915781
1737.5977096117279,5171.424924643239,5152.905999546835,5136.160370899626,5107.059371100569,5082.636101328189,3202.397314409216,3197.156968346047,3192.410179668754,3184.1423563876706,3177.1850360784256,3202.397314409216,3193.8887297987444,3186.2956684429782,3173.3396700792932,3162.713957558889
1798.9563104203312,4731.864903427457,4715.486105832194,4700.673022828106,4674.924449664986,4653.308840104658,2796.884293939492,2792.5437287704767,2788.6113968068903,2781.76085692867,2775.994877556744,2796.884293939492,2789.9014505068626,2783.6878094037324,2773.127879423087,2764.511280932159
1862.4816255796538,4328.093750218713,4313.613329047794,4300.514880898605,4277.741604634515,4258.6186755526605,2434.783743482403,2431.2029184284875,2427.958411504772,2422.305089178172,2417.5457560482323,2434.783743482403,2429.139829667752,2424.1355844196537,2415.673725111337,2408.813631353306
1928.2501667932816,3957.3423541475654,3944.545044108559,3932.9671377291024,3912.833122402135,3895.9220919331356,2112.5417182875217,2109.5998793502795,2106.9339786486535,2102.2880072583607,2098.375910533823,2112.5417182875217,2108.0661015530286,2104.1159553782218,2097.4799965885127,2092.145716864345
1996.3411475703183,3617.06588483502,3605.7602179190358,3595.5301667909484,3577.7363248252664,3562.7871734755613,1827.0251975333176,1824.6184061722247,1822.4370784257326,1818.6349365626543,1815.432733021734,1827.0251975333176,1823.5600764498615,1820.5204290998204,1815.4587525644836,1811.4370794631573
2066.836578632397,3304.8949462215833,3294.9106781983255,3285.8748951149396,3270.1551222745197,3256.9453086505164,1575.1551033864143,1573.1942682969154,1571.4168935532502,1568.3183421728452,1565.7082013619172,1575.1551033864143,1572.555077419214,1570.2936685433106,1566.5746606039793,1563.669480807025
2139.8213666897354,3018.634038086708,3009.8198908257214,3001.8418625042227,2987.959554346002,2976.291126880658,1353.9948540611529,1352.403935624894,1350.9616892152153,1348.4469724128019,1346.3282397686182,1353.9948540611529,1352.1261840079226,1350.5214362875176,1347.932372887485,1345.9637568762298
2215.383416705201,2756.2394971240146,2748.4610847174035,2741.419510450196,2729.1643590182603,2718.8612982167483,1160.6704601772171,1159.3848923762641,1158.2193223171128,1156.186705011995,1154.4738450808911,1160.6704601772171,1159.411136037644,1158.3522301110702,1156.6994360165763,1155.503798212065
2293.6137377695586,2515.8146413018662,2508.952613785277,2502.7397382645054,2491.924860411475,2482.830693763006,992.457742138335,991.4229510112741,990.4846412786754,988.8480929040213,987.468751932194,992.457742138335,991.6972343689035,991.0838729678185,990.1922855896939,989.6219908345879
2374.60655271542,2295.6135441867414,2289.561992037458,2284.0821715010015,2274.54163708824,2266.517384120673,846.8685652882045,846.0386233874041,845.2859791285312,843.9730668705578,842.8663089445814,846.8685652882045,846.5071311419375,846.2489073283099,845.9609661463456,845.8833824168552
2458.459411601912,2094.016203556046,2088.681180895931,2083.84955598283,2075.436100122318,2068.3583705637825,721.4900326439164,720.8265387586009,720.2247750215763,719.1749103440986,718.2897496503191,721.4900326439164,721.4390102061398,721.4556685251521,721.6317560108633,721.9296093758621
2545.2733092067538,1909.5268118442543,1904.825041657176,1900.5663731049335,1893.1493874664768,1886.9087097836023,614.045254029305,613.5163116107979,613.0365305780275,612.1993678561337,611.4934269318079,614.045254029305,614.2272005602936,614.4487516594676,614.9673664515487,615.5388583701938
2635.1528066672518,1740.750819322989,1736.608456493872,1732.856012592058,1726.319625476894,1720.8188487760283,522.3775321559904,521.9568067769641,521.5751460062797,520.9091035212891,520.347373178561,522.3775321559904,522.725825605647,523.0921638109243,523.8492051346516,524.6073608637068
2728.206157416719,1586.4115891390811,1582.7632261266972,1579.4578875144928,1573.699416987416,1568.852421452675,444.55562004015474,444.2214966191681,443.91836691720414,443.3893022979894,442.9430298666977,444.55562004015474,445.01398543852105,445.4744443513169,446.3824011824933,447.25434928093614
2824.5454375679988,1445.3273872881755,1442.1151059269905,1439.2045120801135,1434.1329915085032,1429.8634595763704,378.7836547530988,378.51851353035414,378.27794419787375,377.8580164393798,377.5037505819956,378.7836547530988,379.30575881074554,379.8187242965997,380.80595547207713,381.7322760719825
2924.2866809011457,1316.408874358087,1313.5814169016187,1311.0192196233838,1306.5541073210848,1302.7944475555346,323.40211002346064,323.1916980002691,323.00076821682256,322.6674489771724,322.3862093758618,323.40211002346064,323.95121446306143,324.4837959388684,325.49392366558254,326.428104118494
3027.550018617808,1198.6476607961504,1196.1596709925577,1193.9048507543437,1189.9748477737655,1186.665208458774,276.9124103795367,276.7452696087237,276.59359101433944,276.3287644052903,276.105285245395,276.9124103795367,277.46019600126306,277.9871447471065,278.9771334883097,279.8839158068416
3134.4598240306873,1091.1142191841204,1088.9255739282162,1086.9418375007892,1083.483845310145,1080.5712440848092,237.9925867035675,237.8595572666204,237.73882397891308,237.5280033198455,237.35007471045517,237.9925867035675,238.51811470140342,239.0208704472671,239.95933787691726,240.81326954658425
3245.144862362308,992.955966287552,991.031199138569,989.286459828098,986.2446804899739,983.6822525467928,205.46845011782654,205.3622616201418,205.26588033005206,205.09756414754997,204.95549048626071,205.46845011782654,205.95746846421517,206.42352161567487,207.2896065035296,208.0740672195357
3359.738445833523,903.3862622385624,901.6940326682467,900.1599317646478,897.4850394220903,895.2313452466215,178.3091344530777,178.2240468809568,178.14681156333947,178.01191707704996,177.89804039917345,178.3091344530777,178.75288298973888,179.17468241988965,179.95612067560506,180.66168294841407
3478.3785942285667,821.6820085266182,820.194638504192,818.8461272683937,816.4945440444287,814.5129640060678,155.61380726922692,155.54531552775248,155.48313977200422,155.37453659758006,155.2828441150116,155.61380726922692,156.00797510546894,156.38198089358917,157.07344990058527,157.6964809466214
3601.2082011300163,747.1738853261324,745.8669207573095,744.6818647558111,742.6150752034526,740.8732362220798,136.62800718699583,136.5725784433637,136.52225743017308,136.43435276033983,136.36012756198795,136.62800718699583,136.97149562281015,137.29705138846248,137.89819011970357,138.43917070039882
