r_kpc,rho_cdm_msun_kpc3,rho_sidm_msun_kpc3
1371.911727904251,2841.684536693817,2903.3932651191312
1415.8746261818847,2607.1004459141286,2663.121842571865
1461.2463151168602,2391.3348059635273,2442.1883601021505
1508.0719393923973,2192.9362873595423,2239.0948033595264
1556.3980903526642,2010.5593884253076,2052.4530688772097
1606.272852361006,1842.9573444489015,1880.9775314622082
1657.745850643735,1688.9754490808416,1723.47805044376
1710.8683006670692,1547.544770229708,1578.8533952142816
1765.6930590963545,1417.676242851673,1446.08507072777
1822.2746763882758,1298.4551212392284,1324.2315239240554
1880.6694510683812,1189.0357736892095,1212.4227124141626
1940.935485747941,1088.6368027616234,1109.8550171834374
2003.132744935845,996.5364747214135,1015.7864815370317
2067.323114703103,912.0684421771774,929.5323590188169
2133.570464259281,834.6177443877316,850.4609535730418
2201.940709502159,763.6170701923361,777.9897357811536
2272.5018786038345,698.543269027719,711.5817195882853
2345.324179698533,638.914096019295,650.7420845294516
2420.4800707394743,584.2851776701622,595.0150290694611
2498.0443315942966,534.247185215186,543.980841278528
2578.094138450794,488.42320325464146,497.2531736735035
2660.7091406069576,446.4662818290269,454.4765096591031
2745.971539721777,408.0571606404349,415.3238096012407
2833.9661716056225,372.9021546637356,379.49432515312077
2924.7805906316025,340.73119092014844,346.71157103156935
3018.5051568518775,311.2959867046664,316.72144400440783
3115.233125905619,284.36836006540676,289.29047939778616
3215.060741808077,259.73866382587994,264.2042359640087
3318.087332713047,237.21433491921155,241.26580046443772
3424.4154097440705,216.61855126553434,220.29440381771775
3534.15076899267,197.78898886944202,201.12414114030517
3647.402596785113,180.5766722429696,183.60278846364275
3764.2835783224555,164.84491167072196,167.59070935013375
3884.91000980195,150.46832122733466,152.95984504825267
4009.4019141313834,137.33191183333952,139.59278222577476
4137.883160351478,125.33025399381765,127.38189269938705
4270.481586885201,114.3667052051121,116.22853993916368
4407.3291287365555,104.35269733862467,106.04234746793048
4548.5619487654985,95.20707961764543,96.74052459882493
4694.320573169538,86.85551309371017,88.24724525993321
4844.750031306846,79.22991280355824,80.49307594325666
5000.0,72.26793404690508,73.41444908705405
