r_kpc,rho_cdm_tier1_msun_kpc3,rho_sidm_tier1_sigma_10p000,rho_sidm_tier1_sigma_20p000,rho_sidm_tier1_sigma_50p000,rho_sidm_tier1_sigma_100p000,rho_cdm_tier2_msun_kpc3,rho_sidm_tier2_sigma_10p000,rho_sidm_tier2_sigma_20p000,rho_sidm_tier2_sigma_50p000,rho_sidm_tier2_sigma_100p000,rho_cdm_tier3_msun_kpc3,rho_sidm_tier3_sigma_10p000,rho_sidm_tier3_sigma_20p000,rho_sidm_tier3_sigma_50p000,rho_sidm_tier3_sigma_100p000
10.59508883711558,285177.9658411152,299451.32757672033,301965.75172055466,303744.98027211434,303677.23971708916,285450.98034032737,297543.64545001095,299734.0476193257,301345.9031538573,301375.71853403456,285450.98034032737,297541.016596883,299731.295474418,301343.08677283867,301372.89928031596
11.011361082737277,261676.4826399885,274492.4738762552,276718.74071217136,278233.32010067545,278077.68145267037,261933.59016268072,272730.4519420769,274662.7534394269,276037.50116592436,275988.97955206677,261933.59016268072,272727.584288843,274659.75187409145,276034.4303002835,275985.90609527973
11.4439883193495,239977.3366071687,251477.6005955643,253445.98232489367,254727.6130622166,254498.78134323517,240218.51241542195,249850.69746195027,251552.89025644513,252719.64167860342,252606.08233035996,240218.51241542195,249847.57199916866,251549.61945611183,252716.29615295347,252602.73454247083
11.893613120972296,219956.91702471251,230270.25812738188,232008.16165747234,233085.39360575788,232796.66677582145,220182.0985457273,228768.42680421262,230265.76032203133,231250.61919179326,231083.96876526205,220182.0985457273,228765.02367197323,230262.19958363543,231246.97792094317,231080.32560415755
12.360903307825575,201496.25849884067,210739.6221166456,212271.80554899637,213170.2494649839,212833.50327451658,201705.36096394196,209353.33068615876,210668.53555052524,211494.82691514096,211285.69207773937,201705.36096394196,209349.6297049698,210664.66384132262,211490.8684798599,211281.73216155803
12.84655293823131,184483.83960717142,192763.3237626973,194112.12509694803,194854.70105146235,194480.47330736686,184676.7420535794,191483.52686338706,192637.04073382448,193325.55826868684,193083.29740505503,184676.7420535794,191479.50669683606,192632.8358175962,193321.26002318738,193078.9981290208
13.351283339486864,168817.1134525201,176228.94818851512,177414.51257508184,178021.70389362774,177619.30173865397,168993.65123403782,175047.04640558595,176057.22883445985,176626.47032095405,176359.28881646524,168993.65123403782,175042.68451455966,176052.66722307008,176621.8083431675,176354.62629853818
13.875844179240303,154397.40342044234,161028.71998305767,162069.16521384486,162559.19512472846,162136.73550624045,154557.37434366622,159936.56513911876,160819.86843494506,161286.22551468812,161001.2349981429,154557.37434366622,159931.83799597318,160814.9256157341,161281.17484015884,160996.18431306456
14.421014578959339,141134.00383114425,147063.6782193871,147975.28942835578,148364.3413229508,147928.86053095822,141277.171798498,146053.5458104187,146824.6982465658,147202.65945150368,146905.97521836404,141277.171798498,146048.42949388945,146819.34930052885,147197.19470136217,146900.51101684038
14.987604271147418,128942.22822098629,134241.6014348211,135038.99868617003,135341.41059240914,134898.96205791872,129068.32938035815,133306.17843817684,133978.34681541074,134280.68553178746,133977.5225049988,129068.32938035815,133300.64902691968,133972.56682281767,134274.7813184533,133971.6194199418
15.576454802025857,117741.38524802001,122474.9008656564,123171.18404818069,123399.61822464052,122955.35603034789,117850.11679536676,121607.26881739005,122192.20542411809,122430.15523286007,122124.9201064035,117850.11679536676,121601.3015913847,122185.96863616076,122423.78532325078,122118.55192326063
16.188440781468522,107457.74850223627,111683.6106067415,112290.50817031918,112456.11756637684,112014.38399612029,107548.76845568877,110877.21238086626,111385.39161990536,111568.79406056802,111265.15818954527,107548.76845568877,110870.78249921229,111378.67217371828,111561.93210996981,111258.29858137507
16.82447118204515,98021.97969373879,101792.69456883566,102320.6883003553,102433.26467792892,101997.6737165453,98094.91841175608,101041.33223004823,101482.07295533727,101619.5233221051,101320.50646227553,98094.91841175608,101034.41553057366,101474.84569702568,101612.14369751743,101313.12979617562
17.48549068910329,89368.75734385844,92731.65020040497,93190.09704231069,93258.21773831295,92831.7419973853,89423.20026097393,92029.45686245585,92411.04297351686,92510.03638995688,92218.09476674681,89423.20026097393,92022.02880059023,92403.28235872342,92502.1130639161,92210.17500763126
18.172481103893613,81438.48002621326,84436.19446469707,84833.43740455482,84864.58824880893,84449.62516935001,81473.99443956185,83777.63166498778,84107.41225195752,84174.44991425774,83891.52890301865,81473.99443956185,83769.66941783184,84099.09453682762,84165.95868765115,83883.04183032335
18.886462801822905,74174.8178887583,76845.73230153171,77189.19592460367,77189.88602169532,76788.32775111316,74190.94556689681,76225.5723842107,76510.0567533587,76550.76140628655,76278.3675297897,74190.94556689681,76217.05447501362,76501.15960507993,76541.67951177177,76269.29033448319
19.628496248000772,67525.33122155967,69903.95822414925,70200.24143985081,70176.11303579569,69789.41350828909,67521.59504805933,69317.2747206004,69562.22079796808,69581.44050918419,69320.70455348639,67521.59504805933,69308.18196491103,69552.72427962747,69571.7476149311,69311.01685815802
20.399683572330616,61442.127216810426,63559.500623686414,63814.465291103756,63770.393577063995,63399.62457339961,61418.017636341116,63001.63146839372,63212.12654129854,63214.02221647931,62965.74455210754,61418.017636341116,62991.94642973975,63202.01255917303,63203.699881245346,62955.42785507611
21.20117020648495,55879.77778212769,57763.76168636426,57982.60068457111,57922.77491994408,57568.67758217471,55834.76328139387,57230.3108873002,57410.83957109872,57398.96754753746,57163.67257380979,55834.76328139387,57220.01924351236,57400.093283195034,57388.00062726283,57152.71164587729
22.034146585195902,50796.54679706755,52472.148167359985,52659.45713849865,52587.46262848213,52250.49517388408,50730.11012362082,51959.00314150013,52113.51301995057,52090.89768010837,51868.87333764768,50730.11012362082,51948.09527970842,52102.12450767065,52079.27604976122,51857.25794685518
22.899849914387996,46154.16638404442,47643.82169366646,47803.66468436768,47722.556532488255,47402.93652468255,46065.79669727508,47147.12669342488,47279.08788888186,47248.28626994514,47039.619564224915,46065.79669727508,47135.59796948844,47267.05242557884,47236.00509321108,47027.34476531078
23.799566008779642,41916.32172312676,43240.134311775146,43376.096223199165,43288.462182815456,42986.2075840381,41805.48643027119,42756.25530023015,42868.713833820344,42831.88134040245,42636.502114342926,41805.48643027119,42744.10480471707,42856.03060301481,42818.939765146184,42623.566918111035
24.734631201682117,38050.03266376654,39226.01014881146,39341.24938266561,39249.26635993361,38964.22524451796,37916.23939715841,38751.57720755635,38847.2004361852,38806.13596140014,38623.83725278528,37916.23939715841,38738.81170813414,38833.87664334834,38792.541313421476,38610.248836942985
25.70643432983329,34524.846729081364,35569.11085166782,35666.40656123901,35571.893162658525,35303.77340830924,34367.651966332785,35101.01230194656,35182.13226689074,35138.32545239026,34968.78893421842,34367.651966332785,35087.64688046164,35168.18380506129,35124.09392115451,34954.56332472241
26.716418796213624,31312.06031202706,32239.02873787233,32320.821449664887,32225.286334979777,31973.687507042632,31131.0111238597,31774.345220389816,31842.999094777155,31797.679511378883,31640.509140814298,31131.0111238597,31760.400641387412,31828.447786176603,31782.833313969142,31625.668369565745
27.76608471390847,28385.726235434406,29208.290356087997,29276.72006095543,29181.400178637898,28945.83055996696,28180.458124502118,28744.375655278727,28802.337685822837,28756.50336295583,28611.2337789054,28180.458124502118,28729.88286579493,28787.215996103907,28741.075589778957,28595.810756486546
28.85699113420118,25721.774954162458,26451.45259672385,26508.392287263563,26414.28971517304,26194.187231147444,25492.017383500246,25985.928111353733,26034.740606391693,25989.191694892124,25855.307011231816,25492.017383500246,25970.928818603636,26019.092239901576,25973.226905596242,25839.346117111156
29.99075836220579,23297.715957617824,23944.789583135782,23991.875972252124,23899.793057855524,23694.546807839746,23043.244201668476,23475.487285942134,23516.490107759502,23471.863147406417,23348.81821586524,23043.244201668476,23460.03054503942,23500.366422285355,23455.4136872138,23332.371594122727
31.16907036347935,21093.243638346605,21666.891142606793,21705.55181717413,21616.117024658688,21425.0772783336,20813.942946744326,21191.90378281321,21226.2568186902,21183.04326967535,21070.26755767624,20813.942946744326,21176.049877649908,21209.7209053819,21166.173477519256,21053.399366532463
32.39367726518784,19089.46626810892,19597.872596253856,19629.350089972915,19543.0439757842,19365.536605387068,18785.37137563679,19115.584514730992,19144.289920162173,19102.86012599501,18999.771154042082,18785.37137563679,19099.404915878444,19127.41654325723,19085.646263463776,18982.557489290604
33.66639795554073,17268.89249080351,17719.352760850332,17744.726649893975,17661.90541435022,17497.244568260812,16940.138837127888,17228.382511474658,17252.30512989195,17212.929916049867,17118.944425910053,16940.138837127888,17211.95624276559,17235.17691162672,17195.45624515068,17101.469383334406
34.98912278535556,15615.723504088503,16014.738545707634,16034.945036668409,15955.858534145338,15803.352662304616,15262.619974095443,15513.999929362431,15533.883214287087,15496.746518424348,15411.281965290062,15262.619974095443,15497.416378957094,15516.59359401679,15479.108369577061,15393.640755823582
36.3638163757642,14115.235215295945,14468.592843294979,14484.44167492936,14409.251008365896,14268.212180023389,13738.257862534523,13957.281815351436,13973.763790269582,13938.979560738177,13861.463502164872,13738.257862534523,13940.639474584621,13956.415696392354,13921.281965409944,13843.761074630313
37.79252053623211,12753.92200842234,13066.773233383794,13078.963460219353,13007.75641097333,12877.506954426697,12353.685350146738,12544.330561683375,12557.957517414225,12525.58253208695,12455.457496441966,12353.685350146738,12527.731916137222,12540.65801051493,12507.93472925854,12437.803025609785
39.277357297223766,11519.544971334368,11796.472878292128,11805.60657516897,11738.409567820201,11618.285319594375,11096.88929428228,11262.663162554567,11273.900904574368,11243.943128255929,11180.667041948922,11096.88929428228,11246.21703926497,11256.763645485793,11226.461129600617,11163.176537440715
40.820532062019026,10400.728257969477,10645.807080018225,10652.40120949501,10589.191083864749,10478.54697011953,9956.721920985108,10100.714976097164,10109.95979454701,10082.389507496346,10025.440854722183,9956.721920985108,10084.533548658277,10093.10189895988,10065.192862171976,10008.233925305569
42.42433688236211,9387.102692915454,9603.95368538934,9608.45123152094,9549.165052714696,9447.3779448037,8922.909251924937,9047.84245013022,9055.430601736212,9030.188527487893,8979.06847736549,8922.909251924937,9032.03781589851,9038.96908388474,9013.3966992312,8962.264697902308
44.09115386280753,8469.227831131764,8661.068256189623,8663.847590614603,8608.39035981368,8514.860603018864,7986.265058857662,8094.533291990917,8100.748711175316,8077.75127071804,8031.983309126391,7986.265058857662,8079.215544108675,8084.798453555572,8061.4815774622,8015.700178088186
