r_kpc,rho_cdm_msun_kpc3,rho_sidm_sigma_0p500,rho_sidm_sigma_1p000,rho_sidm_sigma_3p000,rho_sidm_sigma_10p000
4.3668408471607405,2220961.7540566125,1379750.7126473468,1144257.1657787175,897548.2934434904,782724.4085674727
4.538410399211332,2075772.0725299,1307051.7468679436,1088620.132265429,858162.2235656295,750292.563429868
4.716720776545259,1939110.1369268412,1237150.444426451,1034757.1641454769,819720.8850410149,718502.3261678276
4.902036820592464,1810549.51315853,1170022.296808795,982684.2558456133,782260.2191419387,687392.4134403102
5.0946337781828435,1689673.9457319917,1105630.9167719365,932407.2801192869,745809.0329489296,656995.9459821795
5.294797710365754,1576077.9254405152,1043927.6477148205,883920.2218315041,710386.1115650197,627337.2271896221
5.5028259172917275,1469384.6804629297,984869.4616279501,837220.7488554302,676012.9768915186,598443.0908630658
5.7190273797874305,1369228.9791352667,928405.7150706801,792299.4677614938,642705.8152121567,570336.0549289522
5.943723218279724,1275257.336186809,874477.071440766,749137.842007737,610472.6557779473,543031.3158752888
6.177247169750498,1187137.6639105265,823026.152311456,707717.8771339322,579321.6410509151,516544.2357014791
6.419946083430615,1104550.0454802918,773990.9091132786,668016.6639875754,549256.8285431493,490886.7265619955
6.672180435969315,1027190.2250973944,727307.4193311662,630008.0323201603,520278.7608918389,466067.4087966591
6.934324866844159,954765.7512415526,682906.9848285164,593660.1418979573,492382.54262615135,442089.89836453175
7.206768734806797,886998.3212952019,640720.6683701288,558940.0829590261,465562.20708643325,418956.9476305916
7.489916696191041,823625.3183681745,600680.2231248077,525813.8569051399,439809.86249366007,396669.3221535968
7.784189305942152,764393.7294976597,562713.4078841218,494242.60640459775,415112.8686893056,375223.3912573834
8.090023642260098,709061.9461451606,526746.8107912864,464185.3040031543,391456.20824373036,354613.27965054463
8.407873955784511,657404.0843394478,492710.3709246356,435602.2816046031,368824.8826930844,334832.7723611417
8.73821234428559,609201.9800303258,460530.42182760424,408449.41876334214,347199.4426889171,315871.4785474381
9.081529453863054,564248.770618339,430134.1107753593,382682.166483325,326559.4081129224,297717.9110860256
9.43833520769459,522349.9113353081,401450.5764158024,358256.2890695803,306883.4759044264,280359.4579464492
9.809159563416268,483318.70913056814,374407.56025672,335125.06305724714,288147.3761567623,263780.53947783075
10.194553300259765,446979.34045013046,348935.0076493371,313242.6651390675,270326.934692434,247965.48876515834
10.59508883711558,413165.3181212174,324963.7421849017,292562.771477932,253396.55232200606,232896.97579157006
11.011361082737277,381717.8326737764,302424.7433971618,273038.0659280194,237328.92099852476,218555.80110693953
11.4439883193495,352487.9462606825,281251.75249529094,254622.65624690134,222097.15249753444,204922.8709533796
11.893613120972296,325334.42664321343,261379.45506480112,237270.45601455073,207673.39774224363,191977.9342480376
12.360903307825575,300123.12162601674,242743.5025487239,220935.26491911727,194028.92140107322,179699.62736312277
12.84655293823131,276728.69703867513,225282.64422816565,205572.70443362131,181135.72791351718,168066.93453889366
13.351283339486864,255031.88413704064,208936.2862292635,191138.0573858573,168964.76024591242,157057.56749509304
13.875844179240303,234920.1439862494,193645.6751421987,177587.48659626703,157487.10611319268,146649.1472120309
14.421014578959339,216288.55907425677,179355.1457460348,164879.11722263953,146674.78029888775,136819.81052594425
14.987604271147418,199037.38699759013,166009.9281448021,152971.10269178962,136499.14983180302,127546.82739485941
15.576454802025857,183072.81439940826,153557.3041934465,141822.76101036574,126931.98461633343,118807.59017757114
16.188440781468522,168307.11316911067,141947.03665008204,131394.99426715125,117945.81534269285,110579.92556831194
16.82447118204515,154657.66761319668,131130.70891193964,121649.74731332512,109513.52563972422,102841.747749007
17.48549068910329,142046.85547120715,121061.85179034436,112550.13715918345,101608.45664754606,95571.14542807672
