r_kpc,rho_cdm_msun_kpc3,rho_sidm_msun_kpc3
173.36533561369916,80.71379534212569,81.31280027908801
179.82063653987123,72.40855182831228,72.93896310920378
186.5163021842837,64.95538885386752,65.42518082967199
193.4612825863591,58.2672243341321,58.683430403315576
200.66486104244046,52.26583056370775,52.63465575721826
208.1366665146937,46.88093999906112,47.20785992921459
215.8866865020602,42.049440535219354,42.339288376326046
223.92528039046175,37.7146514287101,37.97169439190387
232.2631933001038,33.825671879126304,34.05367846384441
240.91157044838607,30.33679506022611,30.539094207016177
249.88197204762105,27.20698109580743,27.38651422686119
259.18638875747024,24.399383112575176,24.5587499251986
268.837257712758,21.880921078086324,22.02241985009581
278.8474791480839,19.62189865231788,19.74756172525219
289.2304336414569,17.59565875162745,17.707283776059317
300.0,15.778273948595011,15.877451404292415
