M200,m200_msun,z,c200,weight
186639376323315.44,186639376323315.44,0.1,1.6008707774144546,0.0025
748196043235465.4,748196043235465.4,0.1,1.9438949034098945,0.0025
112313079710613.48,112313079710613.48,0.1,3.384976759007407,0.0025
182551871787364.28,182551871787364.28,0.1,4.55837684773825,0.0025
197596780912399.1,197596780912399.1,0.1,2.185921884057219,0.0025
222521319424640.8,222521319424640.8,0.1,3.264062783933534,0.0025
155802096267638.8,155802096267638.8,0.1,6.418784004135844,0.0025
203334326810091.78,203334326810091.78,0.1,4.005154525498503,0.0025
232932731116141.8,232932731116141.8,0.1,5.366423105854964,0.0025
890857574455943.5,890857574455943.5,0.1,3.3809084015261406,0.0025
119611537699690.19,119611537699690.19,0.1,8.014592496650781,0.0025
153151380533316.62,153151380533316.62,0.1,2.535958863800829,0.0025
168490992913415.53,168490992913415.53,0.1,3.38008473996672,0.0025
429741290877361.9,429741290877361.9,0.1,2.12919200803833,0.0025
105572815996116.48,105572815996116.48,0.1,4.971508350171029,0.0025
141260974739008.16,141260974739008.16,0.1,2.4149102790338692,0.0025
206218403718232.88,206218403718232.88,0.1,4.615341004464233,0.0025
714708968655866.4,714708968655866.4,0.1,6.625863948256333,0.0025
322208834550835.0,322208834550835.0,0.1,4.746285501596639,0.0025
136711695642954.0,136711695642954.0,0.1,3.341946601526821,0.0025
250967945972714.94,250967945972714.94,0.1,1.9464113621703982,0.0025
230174829694790.72,230174829694790.72,0.1,6.568479290752537,0.0025
119610795058992.62,119610795058992.62,0.1,6.3783870499911,0.0025
129070875230595.34,129070875230595.34,0.1,2.1547229812163646,0.0025
284997017705807.06,284997017705807.06,0.1,5.778357678027286,0.0025
339435682739518.6,339435682739518.6,0.1,4.887431684813446,0.0025
166825589466640.9,166825589466640.9,0.1,1.7781440886369677,0.0025
115768469941702.1,115768469941702.1,0.1,2.415922805110256,0.0025
728059821587078.0,728059821587078.0,0.1,4.095029891676436,0.0025
169349758380285.16,169349758380285.16,0.1,5.18992267813618,0.0025
114642703700942.6,114642703700942.6,0.1,3.9980904760575533,0.0025
386156541058196.9,386156541058196.9,0.1,3.5657452103808214,0.0025
194306524557549.72,194306524557549.72,0.1,7.779577520750074,0.0025
531878957894358.2,531878957894358.2,0.1,2.64326727914156,0.0025
289527561961766.94,289527561961766.94,0.1,2.913761679100502,0.0025
717689821344101.9,717689821344101.9,0.1,2.8171240246657447,0.0025
950702719444355.8,950702719444355.8,0.1,10.727192191144743,0.0025
373411548841413.06,373411548841413.06,0.1,4.239557126507946,0.0025
206544997383435.7,206544997383435.7,0.1,2.97282149371071,0.0025
468548018491715.6,468548018491715.6,0.1,6.2011522290731795,0.0025
300863082854551.6,300863082854551.6,0.1,1.5,0.0025
104130896407814.64,104130896407814.64,0.1,5.574814555692681,0.0025
919282238634180.6,919282238634180.6,0.1,2.278824826543036,0.0025
577339013418633.0,577339013418633.0,0.1,2.028510238522458,0.0025
891684481928897.2,891684481928897.2,0.1,4.042322463497885,0.0025
348644112125437.56,348644112125437.56,0.1,6.7038887431618335,0.0025
252726552760790.38,252726552760790.38,0.1,1.9135575530322322,0.0025
